id,question
ed8d068c,What does 21 CFR 314.70(b) cover?
ed8d068c,Which regulation addresses prior approval supplements for major changes?
ed8d068c,What are the requirements under 21 CFR 314.70(b)?
ed8d068c,Where is prior approval supplements for major changes defined in the regulations?
ed8d068c,What's the rule for prior approval supplements for major changes?
eafd3d27,What does 21 CFR 314.70(c) cover?
eafd3d27,Which regulation addresses CBE-30 supplements?
eafd3d27,What are the requirements under 21 CFR 314.70(c)?
eafd3d27,Where is CBE-30 supplements defined in the regulations?
eafd3d27,What's the rule for CBE-30 supplements?
12c909bb,What does 21 CFR 314.70(c)(6)(iii)(A) cover?
12c909bb,Which regulation addresses adding a warning without waiting for FDA approval?
12c909bb,What are the requirements under 21 CFR 314.70(c)(6)(iii)(A)?
12c909bb,Where is adding a warning without waiting for FDA approval defined in the regulations?
12c909bb,What's the rule for adding a warning without waiting for FDA approval?
12c909bb,Which regulation addresses CBE-0 labeling changes?
12c909bb,Where is CBE-0 labeling changes defined in the regulations?
12c909bb,What's the rule for CBE-0 labeling changes?
638b7260,What does 21 CFR 314.80(a) cover?
638b7260,Which regulation addresses the definition of a serious adverse drug experience?
638b7260,What are the requirements under 21 CFR 314.80(a)?
638b7260,Where is the definition of a serious adverse drug experience defined in the regulations?
638b7260,What's the rule for the definition of a serious adverse drug experience?
638b7260,Which regulation addresses what counts as an unexpected adverse experience?
638b7260,Where is what counts as an unexpected adverse experience defined in the regulations?
638b7260,What's the rule for what counts as an unexpected adverse experience?
f03a8f00,What does 21 CFR 314.80(b) cover?
f03a8f00,Which regulation addresses the duty to review adverse event information from all sources?
f03a8f00,What are the requirements under 21 CFR 314.80(b)?
f03a8f00,Where is the duty to review adverse event information from all sources defined in the regulations?
f03a8f00,What's the rule for the duty to review adverse event information from all sources?
63157a93,What does 21 CFR 314.80(c)(1) cover?
63157a93,Which regulation addresses 15-day alert reports?
63157a93,What are the requirements under 21 CFR 314.80(c)(1)?
63157a93,Where is 15-day alert reports defined in the regulations?
63157a93,What's the rule for 15-day alert reports?
63157a93,Which regulation addresses expedited reporting of serious unexpected events?
63157a93,Where is expedited reporting of serious unexpected events defined in the regulations?
63157a93,What's the rule for expedited reporting of serious unexpected events?
ba5ea59b,What does 21 CFR 314.80(c)(2) cover?
ba5ea59b,Which regulation addresses periodic adverse experience reports?
ba5ea59b,What are the requirements under 21 CFR 314.80(c)(2)?
ba5ea59b,Where is periodic adverse experience reports defined in the regulations?
ba5ea59b,What's the rule for periodic adverse experience reports?
ba5ea59b,Which regulation addresses quarterly safety reporting?
ba5ea59b,Where is quarterly safety reporting defined in the regulations?
ba5ea59b,What's the rule for quarterly safety reporting?
6c499076,What does 21 CFR 314.80(e) cover?
6c499076,Which regulation addresses adverse event recordkeeping requirements?
6c499076,What are the requirements under 21 CFR 314.80(e)?
6c499076,Where is adverse event recordkeeping requirements defined in the regulations?
6c499076,What's the rule for adverse event recordkeeping requirements?
2ac1b847,What does 21 CFR 314.81(b)(2) cover?
2ac1b847,Which regulation addresses annual report content on new safety information?
2ac1b847,What are the requirements under 21 CFR 314.81(b)(2)?
2ac1b847,Where is annual report content on new safety information defined in the regulations?
2ac1b847,What's the rule for annual report content on new safety information?
4e33cf14,What does 21 CFR 201.57(c)(6) cover?
4e33cf14,Which regulation addresses when the Warnings and Precautions section must be revised?
4e33cf14,What are the requirements under 21 CFR 201.57(c)(6)?
4e33cf14,Where is when the Warnings and Precautions section must be revised defined in the regulations?
4e33cf14,What's the rule for when the Warnings and Precautions section must be revised?
4e33cf14,Which regulation addresses the reasonable-evidence-of-causal-association standard?
4e33cf14,Where is the reasonable-evidence-of-causal-association standard defined in the regulations?
4e33cf14,What's the rule for the reasonable-evidence-of-causal-association standard?
cf1d6b20,What does 21 CFR 201.57(c)(1) cover?
cf1d6b20,Which regulation addresses when a boxed warning is required?
cf1d6b20,What are the requirements under 21 CFR 201.57(c)(1)?
cf1d6b20,Where is when a boxed warning is required defined in the regulations?
cf1d6b20,What's the rule for when a boxed warning is required?
63df2a87,What does 21 CFR 601.12(f) cover?
63df2a87,Which regulation addresses labeling change reporting for biologics?
63df2a87,What are the requirements under 21 CFR 601.12(f)?
63df2a87,Where is labeling change reporting for biologics defined in the regulations?
63df2a87,What's the rule for labeling change reporting for biologics?
d47d1633,What does FD&C Act 505(o)(4)(A) cover?
d47d1633,Which regulation addresses FDA notifying a sponsor about new safety information?
d47d1633,What are the requirements under FD&C Act 505(o)(4)(A)?
d47d1633,Where is FDA notifying a sponsor about new safety information defined in the regulations?
d47d1633,What's the rule for FDA notifying a sponsor about new safety information?
938d0eb6,What does FD&C Act 505(o)(4)(B) cover?
938d0eb6,Which regulation addresses the 30-day response to an FDA safety labeling notification?
938d0eb6,What are the requirements under FD&C Act 505(o)(4)(B)?
938d0eb6,Where is the 30-day response to an FDA safety labeling notification defined in the regulations?
938d0eb6,What's the rule for the 30-day response to an FDA safety labeling notification?
45a6f9b5,What does FD&C Act 505(o)(4)(C-E) cover?
45a6f9b5,Which regulation addresses FDA's authority to order a safety labeling change?
45a6f9b5,What are the requirements under FD&C Act 505(o)(4)(C-E)?
45a6f9b5,Where is FDA's authority to order a safety labeling change defined in the regulations?
45a6f9b5,What's the rule for FDA's authority to order a safety labeling change?
be49eadd,What does FD&C Act 505-1(b) cover?
be49eadd,Which regulation addresses the definition of new safety information?
be49eadd,What are the requirements under FD&C Act 505-1(b)?
be49eadd,Where is the definition of new safety information defined in the regulations?
be49eadd,What's the rule for the definition of new safety information?
