id,question
3cba7626,Is suicidal ideation in the boxed warning for montelukast?
3cba7626,Which section of the Singulair label covers suicidal thoughts?
3cba7626,What does the montelukast prescribing information say about thoughts of self-harm?
3cba7626,Does the montelukast label mention neuropsychiatric events?
1f2a2347,Does the montelukast label mention neuropsychiatric events?
ca908d39,Are there warnings about indications and usage for patients on Singulair?
756cd0fa,Does the ciprofloxacin label mention tendon rupture?
756cd0fa,Is Achilles tendon tear in the boxed warning for ciprofloxacin?
7028e169,Are there warnings about aortic aneurysm for patients on Cipro?
7028e169,Does the ciprofloxacin label mention tear in the aorta?
7028e169,Are there warnings about bulge in the main artery for patients on Cipro?
7028e169,Which section of the Cipro label covers tendon rupture?
7028e169,Does the ciprofloxacin label mention Achilles tendon tear?
7028e169,Does the ciprofloxacin label mention hypoglycemia?
7028e169,What does the ciprofloxacin prescribing information say about dangerously low blood sugar?
17e519d4,What does the ciprofloxacin prescribing information say about aortic aneurysm?
17e519d4,Does the ciprofloxacin label mention tear in the aorta?
17e519d4,Which section of the Cipro label covers bulge in the main artery?
17e519d4,Does the ciprofloxacin label mention tendon rupture?
17e519d4,Are there warnings about Achilles tendon tear for patients on Cipro?
17e519d4,What does the ciprofloxacin prescribing information say about hypoglycemia?
17e519d4,Does the ciprofloxacin label mention dangerously low blood sugar?
b3d9d2f9,Are there warnings about necrotizing fasciitis of the perineum for patients on Invokana?
b3d9d2f9,Does the canagliflozin label mention Fournier's gangrene?
b3d9d2f9,Which section of the Invokana label covers flesh-eating infection of the groin?
b3d9d2f9,Are there warnings about lower limb amputation for patients on Invokana?
59d48710,Does the canagliflozin label mention necrotizing fasciitis of the perineum?
59d48710,Are there warnings about Fournier's gangrene for patients on Invokana?
59d48710,Are there warnings about flesh-eating infection of the groin for patients on Invokana?
6cfaec8d,What does the febuxostat prescribing information say about cardiovascular death?
6cfaec8d,Does the febuxostat label mention dying from heart problems?
6cfaec8d,Which section of the Uloric label covers fatal heart events?
c541a2c0,Does the febuxostat label mention cardiovascular death?
c541a2c0,Are there warnings about dying from heart problems for patients on Uloric?
c541a2c0,Which section of the Uloric label covers fatal heart events?
c541a2c0,Is hepatic failure in the boxed warning for febuxostat?
f1cc8717,What does the gabapentin prescribing information say about respiratory depression?
f1cc8717,Which section of the Neurontin label covers dangerously slowed breathing?
f1cc8717,Are there warnings about breathing suppression for patients on Neurontin?
f1cc8717,Does the gabapentin label mention angioedema?
f1cc8717,Are there warnings about severe facial and throat swelling for patients on Neurontin?
19b18150,Is respiratory depression in the boxed warning for gabapentin?
19b18150,Are there warnings about dangerously slowed breathing for patients on Neurontin?
19b18150,Which section of the Neurontin label covers breathing suppression?
19b18150,Does the gabapentin label mention angioedema?
19b18150,Are there warnings about severe facial and throat swelling for patients on Neurontin?
8bc7706b,Are there warnings about thrombosis for patients on Xeljanz?
8bc7706b,Which section of the Xeljanz label covers malignancy?
8d964f07,Is thrombosis in the boxed warning for tofacitinib?
8d964f07,Does the tofacitinib label mention malignancy?
db91c770,Are there warnings about necrotizing fasciitis of the perineum for patients on Jardiance?
db91c770,Does the empagliflozin label mention Fournier's gangrene?
db91c770,Are there warnings about flesh-eating infection of the groin for patients on Jardiance?
db91c770,Does the empagliflozin label mention ketoacidosis?
33fc8743,Are there warnings about necrotizing fasciitis of the perineum for patients on Jardiance?
33fc8743,Which section of the Jardiance label covers Fournier's gangrene?
33fc8743,What does the empagliflozin prescribing information say about flesh-eating infection of the groin?
33fc8743,Are there warnings about ketoacidosis for patients on Jardiance?
3110828e,What does the warfarin prescribing information say about boxed warning?
7e348168,Is hemorrhage in the boxed warning for warfarin?
7e348168,What does the warfarin prescribing information say about major bleeding?
7e348168,Are there warnings about serious bleeds for patients on Coumadin?
7e348168,What does the warfarin prescribing information say about tissue necrosis?
51a6f9b7,Is drug interactions in the boxed warning for warfarin?
b6766c19,Is lactic acidosis in the boxed warning for metformin?
b6766c19,Which section of the Glucophage label covers dangerous lactic acid buildup?
787e546d,Which section of the Glucophage label covers lactic acidosis?
787e546d,Which section of the Glucophage label covers dangerous lactic acid buildup?
787e546d,Does the metformin label mention vitamin B12 deficiency?
64509a0e,Are there warnings about rhabdomyolysis for patients on Lipitor?
64509a0e,Is severe muscle breakdown in the boxed warning for atorvastatin?
64509a0e,Are there warnings about myopathy for patients on Lipitor?
a9ba0df7,What does the atorvastatin prescribing information say about rhabdomyolysis?
a9ba0df7,Is severe muscle breakdown in the boxed warning for atorvastatin?
a9ba0df7,What does the atorvastatin prescribing information say about myopathy?
6ba2ab8f,Is suicidal thoughts in the boxed warning for sertraline?
1f0c6065,Are there warnings about serotonin syndrome for patients on Zoloft?
1f0c6065,Does the sertraline label mention serotonin toxicity?
bf533717,Does the lisinopril label mention fetal toxicity?
0530ae42,Are there warnings about angioedema for patients on Zestril?
0530ae42,What does the lisinopril prescribing information say about severe facial and throat swelling?
