id,drug,brand,section_code,section_name,as_of_date,version_note,text
46c2ba91,montelukast,Singulair,43685-7,Warnings and Precautions,2019-06-01,pre-change version (before 2020 boxed warning),Precautions: Phenylketonurics — chewable tablets contain phenylalanine. Patients with known aspirin sensitivity should continue avoidance of aspirin or non-steroidal anti-inflammatory agents. Neuropsychiatric events have been reported in the postmarketing setting; patients and prescribers should be alert for changes in behavior or mood.
7adc9ad9,montelukast,Singulair,34084-4,Adverse Reactions,2019-06-01,pre-change version (before 2020 boxed warning),"Postmarketing experience includes reports of agitation, aggressive behavior, anxiousness, depression, disorientation, dream abnormalities, hallucinations, insomnia, irritability, restlessness, and tremor. The most common adverse reactions in clinical trials were upper respiratory infection, fever, headache, pharyngitis, cough, abdominal pain, diarrhea, otitis media, influenza, rhinorrhea, and sinusitis."
3cba7626,montelukast,Singulair,34066-1,Boxed Warning,2024-01-15,current snapshot,"WARNING: SERIOUS NEUROPSYCHIATRIC EVENTS. Serious neuropsychiatric events, including suicidal thoughts and behavior (suicidal ideation) and completed suicide, have been reported in patients taking montelukast. Because of the risk of these events, the benefits of montelukast may not outweigh the risks in some patients, particularly when symptoms may be mild and adequately treated with other medicines. Advise patients and caregivers to be alert for neuropsychiatric events; discontinue montelukast if such events occur."
1f2a2347,montelukast,Singulair,43685-7,Warnings and Precautions,2024-01-15,current snapshot,"Serious neuropsychiatric events including agitation, aggression, depression, sleep disturbances, suicidal thoughts and behavior (including completed suicide), and tremor have been reported. Evaluate the risks and benefits of continuing treatment if such events occur. Phenylketonurics: chewable tablets contain phenylalanine. Patients with aspirin sensitivity should continue to avoid aspirin and NSAIDs."
ca908d39,montelukast,Singulair,34067-9,Indications and Usage,2024-01-15,current snapshot,"Indicated for prophylaxis and chronic treatment of asthma in patients 12 months of age and older, for acute prevention of exercise-induced bronchoconstriction, and for relief of symptoms of allergic rhinitis in patients for whom alternative therapies are inadequate."
f76dc909,ciprofloxacin,Cipro,34066-1,Boxed Warning,2018-06-01,pre-change version (before Dec 2018 aortic update),"WARNING: SERIOUS ADVERSE REACTIONS INCLUDING TENDINITIS, TENDON RUPTURE, PERIPHERAL NEUROPATHY, CENTRAL NERVOUS SYSTEM EFFECTS, AND EXACERBATION OF MYASTHENIA GRAVIS. Fluoroquinolones have been associated with disabling and potentially irreversible serious adverse reactions. Discontinue at the first sign of tendon inflammation or pain. Reserve for patients who have no alternative treatment options for uncomplicated infections."
d57ce4d6,ciprofloxacin,Cipro,43685-7,Warnings and Precautions,2018-06-01,pre-change version (before Dec 2018 aortic update),"Tendinitis and tendon rupture, including Achilles tendon rupture, can occur during or after treatment, particularly in patients over 60 years, those on corticosteroids, and transplant recipients. Peripheral neuropathy, CNS effects including seizures and psychiatric reactions, hypoglycemia and hyperglycemia disturbances, Clostridioides difficile associated diarrhea, and QT interval prolongation have been reported."
756cd0fa,ciprofloxacin,Cipro,34066-1,Boxed Warning,2024-02-01,current snapshot,"WARNING: SERIOUS ADVERSE REACTIONS INCLUDING TENDINITIS, TENDON RUPTURE, PERIPHERAL NEUROPATHY, CENTRAL NERVOUS SYSTEM EFFECTS, AND EXACERBATION OF MYASTHENIA GRAVIS. Discontinue immediately at first signs of these serious reactions and avoid fluoroquinolones in patients who have experienced any of them. Reserve for patients with no alternative treatment options for certain uncomplicated infections."
7028e169,ciprofloxacin,Cipro,43685-7,Warnings and Precautions,2024-02-01,current snapshot,"Aortic aneurysm and dissection: epidemiologic studies report an increased risk of aortic aneurysm and dissection within two months following fluoroquinolone use, particularly in elderly patients. Avoid in patients with known aortic aneurysm or at increased risk unless no alternative exists. Tendinitis and tendon rupture including Achilles rupture; peripheral neuropathy that may be irreversible; CNS effects including seizures, increased intracranial pressure, and psychiatric reactions; significant hypoglycemia including hypoglycemic coma, particularly in elderly diabetic patients on sulfonylureas; QT prolongation; photosensitivity; C. difficile associated diarrhea."
17e519d4,ciprofloxacin,Cipro,34084-4,Adverse Reactions,2024-02-01,current snapshot,"Most common adverse reactions: nausea, diarrhea, abnormal liver function tests, vomiting, and rash. Postmarketing reports include tendon rupture, aortic aneurysm and dissection, severe hypoglycemia, toxic epidermal necrolysis, and delirium."
f9f3f56f,canagliflozin,Invokana,43685-7,Warnings and Precautions,2018-05-01,pre-change version (before Aug 2018 Fournier's update),"Lower limb amputation: an increased risk of lower limb amputations, primarily of the toe and midfoot, was observed in the CANVAS trials (boxed warning). Ketoacidosis, acute kidney injury, urosepsis and pyelonephritis, hypotension, hypoglycemia with concomitant insulin or insulin secretagogues, genital mycotic infections, and bone fracture risk have been reported."
b3d9d2f9,canagliflozin,Invokana,43685-7,Warnings and Precautions,2024-03-01,current snapshot,"Necrotizing fasciitis of the perineum (Fournier's gangrene): reports of this rare but serious and life-threatening infection have been identified in patients taking SGLT2 inhibitors. Assess patients presenting with pain, tenderness, erythema, or swelling in the genital or perineal area, along with fever or malaise; if suspected, start treatment immediately and discontinue the drug. Ketoacidosis; lower limb amputation risk; acute kidney injury; serious urinary tract infections; hypotension; hypoglycemia with insulin or secretagogues; genital mycotic infections; bone fractures."
59d48710,canagliflozin,Invokana,34084-4,Adverse Reactions,2024-03-01,current snapshot,"Most common adverse reactions: female genital mycotic infections, urinary tract infection, and increased urination. Postmarketing: ketoacidosis, necrotizing fasciitis of the perineum, acute kidney injury, anaphylaxis, and angioedema."
ba197dd4,febuxostat,Uloric,43685-7,Warnings and Precautions,2018-09-01,pre-change version (before Feb 2019 boxed warning),Cardiovascular events: in randomized controlled studies there was a higher rate of cardiovascular thromboembolic events in patients treated with febuxostat than allopurinol; monitor for signs and symptoms of myocardial infarction and stroke. Gout flares may occur after initiation. Hepatic effects: postmarketing reports of hepatic failure; obtain liver tests if symptoms suggest injury. Serious skin reactions including Stevens-Johnson syndrome have been reported.
6cfaec8d,febuxostat,Uloric,34066-1,Boxed Warning,2024-01-10,current snapshot,"WARNING: CARDIOVASCULAR DEATH. In a cardiovascular outcomes study of patients with gout and established cardiovascular disease, gout patients treated with febuxostat had a higher rate of cardiovascular death compared to those treated with allopurinol. Consider the risks and benefits when deciding to prescribe or continue febuxostat; reserve for patients who have an inadequate response or intolerance to allopurinol."
c541a2c0,febuxostat,Uloric,43685-7,Warnings and Precautions,2024-01-10,current snapshot,Cardiovascular death (see Boxed Warning). Gout flare after initiation; prophylaxis with an NSAID or colchicine is recommended. Hepatic effects including postmarketing reports of fatal hepatic failure. Serious skin and hypersensitivity reactions including Stevens-Johnson syndrome and drug reaction with eosinophilia and systemic symptoms.
b5241145,gabapentin,Neurontin,43685-7,Warnings and Precautions,2019-08-01,pre-change version (before Dec 2019 respiratory update),"Drug reaction with eosinophilia and systemic symptoms (DRESS): multiorgan hypersensitivity has been reported; discontinue if an alternative etiology cannot be established. Anaphylaxis and angioedema have been reported. Somnolence, dizziness, and CNS depression may impair ability to drive or operate machinery. Suicidal behavior and ideation: antiepileptic drugs increase the risk; monitor for emergence or worsening of depression."
f1cc8717,gabapentin,Neurontin,43685-7,Warnings and Precautions,2024-04-01,current snapshot,"Respiratory depression: serious, life-threatening, and fatal respiratory depression may occur when gabapentin is used with opioids or other CNS depressants, or in patients with underlying respiratory impairment or the elderly. Initiate at the lowest dose and monitor for symptoms of respiratory depression and sedation. DRESS/multiorgan hypersensitivity; anaphylaxis and angioedema; somnolence and dizziness; increased risk of suicidal thoughts or behavior with antiepileptic drugs; neuropsychiatric adverse reactions in pediatric patients."
19b18150,gabapentin,Neurontin,34084-4,Adverse Reactions,2024-04-01,current snapshot,"Most common adverse reactions: dizziness, somnolence, ataxia, fatigue, and peripheral edema. Postmarketing: respiratory depression (particularly with concomitant opioid use), angioedema, rhabdomyolysis, and withdrawal symptoms following abrupt discontinuation."
8bc7706b,tofacitinib,Xeljanz,34066-1,Boxed Warning,2024-02-20,current snapshot,"WARNING: SERIOUS INFECTIONS, MORTALITY, MALIGNANCY, MAJOR ADVERSE CARDIOVASCULAR EVENTS, AND THROMBOSIS. Increased risk of serious bacterial, fungal, viral, and opportunistic infections including tuberculosis. Higher rate of all-cause mortality, lymphomas and lung cancers, major adverse cardiovascular events (cardiovascular death, myocardial infarction, stroke), and thrombosis including pulmonary embolism and deep venous thrombosis, observed in a large postmarketing safety study in rheumatoid arthritis patients versus TNF blockers."
8d964f07,tofacitinib,Xeljanz,43685-7,Warnings and Precautions,2024-02-20,current snapshot,"Serious infections; malignancy and lymphoproliferative disorders; major adverse cardiovascular events; thrombosis; gastrointestinal perforations; laboratory abnormalities including lymphopenia, neutropenia, anemia, and lipid elevations; vaccination with live vaccines should be avoided during treatment."
