id,citation,title,text
ed8d068c,21 CFR 314.70(b),Major changes — prior approval supplement,"Changes with substantial potential to adversely affect identity, strength, quality, purity, or potency, including certain labeling changes, require submission and FDA approval of a supplement BEFORE distribution of the product made using the change (Prior Approval Supplement, PAS)."
eafd3d27,21 CFR 314.70(c),Moderate changes — CBE-30 supplements,"Moderate changes require a supplement submitted at least 30 days before distribution (Changes Being Effected in 30 days, CBE-30). If FDA informs the applicant of missing information within 30 days, distribution must not begin until the issues are resolved."
12c909bb,21 CFR 314.70(c)(6)(iii)(A),CBE-0 — adding or strengthening warnings,"Labeling changes that add or strengthen a contraindication, warning, precaution, or adverse reaction for which there is newly acquired information and reasonable evidence of a causal association may be placed into effect UPON RECEIPT of the supplement by FDA (Changes Being Effected, CBE-0) — the sponsor does not wait for approval to warn."
638b7260,21 CFR 314.80(a),Postmarketing adverse experience definitions,"Defines adverse drug experience (any adverse event associated with the use of a drug, whether or not considered drug related); serious adverse drug experience (death, life-threatening, hospitalization or prolongation, persistent or significant disability, congenital anomaly, or requiring intervention to prevent such outcomes); and unexpected adverse drug experience (not listed in the current labeling, or observed at greater severity or specificity than listed)."
f03a8f00,21 CFR 314.80(b),Review of adverse drug experiences,"Applicants must promptly review all adverse drug experience information obtained or otherwise received from any source, foreign or domestic, including commercial marketing experience, postmarketing studies, reports in the scientific literature, and unpublished scientific papers, and must maintain written procedures for surveillance, receipt, evaluation, and reporting."
63157a93,21 CFR 314.80(c)(1),15-day 'Alert reports',"Applicants must report each adverse drug experience that is BOTH serious and unexpected, whether foreign or domestic, as soon as possible but no later than 15 calendar days from initial receipt, and must promptly investigate and submit follow-up reports within 15 days of receipt of new information."
ba5ea59b,21 CFR 314.80(c)(2),Periodic adverse drug experience reports,"Adverse experiences not qualifying for 15-day reporting must be reported periodically: quarterly for three years from approval, then annually. Periodic reports include a narrative summary and analysis, an index of reports, and a history of actions taken because of adverse drug experiences (for example, labeling changes or studies initiated)."
6c499076,21 CFR 314.80(e),Recordkeeping for adverse experiences,"Applicants must maintain for 10 years records of all adverse drug experience information known to them, including raw data and correspondence relating to the adverse experiences."
2ac1b847,21 CFR 314.81(b)(2),Annual reports,"Annual reports must include, among other items, a brief summary of significant new information from the previous year that might affect the safety, effectiveness, or labeling of the drug, and a description of actions the applicant has taken or intends to take as a result — for example, submitting a labeling supplement."
4e33cf14,21 CFR 201.57(c)(6),Warnings and Precautions — content standard,The Warnings and Precautions section must describe clinically significant adverse reactions and other potential safety hazards. The labeling MUST BE REVISED to include a warning about a clinically significant hazard AS SOON AS THERE IS REASONABLE EVIDENCE OF A CAUSAL ASSOCIATION with the drug; a causal relationship need not have been definitely established.
cf1d6b20,21 CFR 201.57(c)(1),Boxed warning standard,"Certain contraindications or serious warnings, particularly those that may lead to death or serious injury, may be required by FDA to be presented in a box at the beginning of prescribing information (the 'boxed warning'), based on clinical significance."
63df2a87,21 CFR 601.12(f),Biologics — labeling changes reporting,"For biological products, labeling changes parallel the drug framework: changes adding or strengthening warnings based on newly acquired information may be implemented via a 'Changes Being Effected' supplement, while other labeling changes require prior approval."
d47d1633,FD&C Act 505(o)(4)(A),Safety labeling changes — FDA notification,"If FDA becomes aware of NEW SAFETY INFORMATION that it believes should be included in the labeling of a drug, FDA must promptly notify the application holder."
938d0eb6,FD&C Act 505(o)(4)(B),Safety labeling changes — 30-day response,"Within 30 days of FDA notification, the holder must submit a supplement proposing labeling changes to reflect the new safety information, or notify FDA that it does not believe a change is warranted and provide the reasons."
45a6f9b5,FD&C Act 505(o)(4)(C-E),Safety labeling changes — order authority,"FDA reviews the proposed changes, may initiate discussions (generally not to exceed 30 days), and may issue an ORDER directing the holder to make the labeling changes FDA deems appropriate; the holder must submit a conforming supplement within 15 days of the order."
be49eadd,FD&C Act 505-1(b),Definition — new safety information,"'New safety information' includes information derived from clinical trials, adverse event reports, postapproval studies, peer-reviewed literature, or other scientific data about a serious risk or an unexpected serious risk associated with use of the drug since approval, or since the last labeling requirement was imposed."
